louse --synonyms-- cad; cootie; knave;
downtown --synonyms-- central; main; metropolitan;
two --synonyms-- amphibian; binary; diploid;
legal --synonyms-- constitutional; contractual; fair;
engine --synonyms-- appliance; diesel; generator;
earthquake --synonyms-- shock; temblor; upheaval;
completion --synonyms-- accomplishment; achievement; conclusion;
support --synonyms-- backing; abutment; agency;
compact --synonyms-- solid; tight; bunched;
harassing --synonyms-- alarming; annoying; bothersome;
lining --synonyms-- covering; bushing; filling;
lighthouse --synonyms-- flare; lantern; radar;
encumbrance --synonyms-- burden; albatross; cross;
cheesy --synonyms-- inferior; poor; shabby;
blot --synonyms-- blemish; blotch; smudge;
depict --synonyms-- characterize; detail; illustrate;
abortion --synonyms-- miscarriage; aborticide; feticide;
devour --synonyms-- absorb; destroy; eat;
godforsaken --synonyms-- abandoned; backward; deserted;
unprofessional --synonyms-- ignorant; improper; incompetent;
presumptuous --synonyms-- arrogant; foolhardy; overconfident;
yoga --synonyms-- NO SYNONYMS;
luxuriant --synonyms-- lush; opulent; sumptuous;
gloves --synonyms-- muff; gauntlet; mitt;
wiggle --synonyms-- jerk; jiggle; shimmy;
scenery --synonyms-- backdrop; decor; furnishings;
dauntless --synonyms-- aweless; brave; daring;
tucker --synonyms-- drain; fatigue; frazzle;
dodge --synonyms-- contrivance; device; machination;
semblance --synonyms-- pretense; veneer; affinity;
classify --synonyms-- allocate; analyze; arrange;
unfit --synonyms-- ill-equipped; inadequate; inappropriate;
subscribe --synonyms-- ante up; sign up; advocate;
mend --synonyms-- ameliorate; cure; heal;
spoiled --synonyms-- rotten; corrupted; harmed;
wounded --synonyms-- bruised; damaged; disabled;
heavily --synonyms-- densely; massively; thickly;
smiling --synonyms-- cheerful; genial; radiant;
senior --synonyms-- elder; leading; chief;
milk --synonyms-- buttermilk; cream; half-and-half;
student --synonyms-- graduate; junior; pupil;
chase --synonyms-- hunt; quest; race;
discuss --synonyms-- argue; confer; consider;
fight --synonyms-- action; altercation; argument;
pay --synonyms-- allowance; compensation; fee;
plural --synonyms-- multiple; dual; many;
why --synonyms-- cause; motive; mystery;
tea-pot --synonyms-- NO SYNONYMS;
marry --synonyms-- join; wed; ally;
opaque --synonyms-- blurred; cloudy; dirty;
graveyard --synonyms-- burial ground; cemetery; necropolis;
then --synonyms-- again; formerly; later;
kitten --synonyms-- kitty; kit; puss;
prehistoric --synonyms-- ancient; archaic; primeval;
inattentive --synonyms-- apathetic; bored; careless;
irrelevant --synonyms-- extraneous; immaterial; inappropriate;
antarctic --synonyms-- chilly; freezing; frosty;
livelihood --synonyms-- employment; income; living;
piercing --synonyms-- biting; blaring; earsplitting;
downright --synonyms-- damned; outright; blatant;
ulterior --synonyms-- ambiguous; buried; concealed;
meek --synonyms-- deferential; docile; gentle;
par --synonyms-- balance; criterion; equality;
dashing --synonyms-- dapper; debonair; fearless;
swift --synonyms-- abrupt; expeditious; hasty;
tolerance --synonyms-- patience; resilience; resistance;
half-moon --synonyms-- arch; bend; bow;
heathen --synonyms-- godless; infidel; irreligious;
blueberry --synonyms-- NO SYNONYMS;
ashame --synonyms-- NO SYNONYMS;
chastise --synonyms-- berate; castigate; censure;
hostage --synonyms-- captive; prisoner; victim;
breeze --synonyms-- air; breath; current;
accelerate --synonyms-- advance; expedite; further;
nightmare --synonyms-- dream; fantasy; hallucination;
loyalty --synonyms-- adherence; allegiance; devotion;
pleasant --synonyms-- agreeable; amiable; amusing;
graph --synonyms-- chart; linear representation; visual representation;
comprehend --synonyms-- appreciate; assimilate; discern;
honey --synonyms-- darling; dear; dearie;
peak --synonyms-- crest; hill; mountain;
crash --synonyms-- blast; clash; boom;
lots --synonyms-- oodles; acres; gobs;
turkey --synonyms-- ass; birdbrain; blockhead;
catch --synonyms-- hook; snap; bolt;
allege --synonyms-- charge; cite; declare;
sleek --synonyms-- glistening; polished; satin;
dear --synonyms-- close; darling; familiar;
amend --synonyms-- alter; enhance; lift;
handicapped --synonyms-- balked; blocked; burdened;
iceberg --synonyms-- abstract; candid; detached;
puff --synonyms-- whiff; wisp; breath;
ammunition --synonyms-- ammo; armament; bomb;
beautify --synonyms-- adorn; bedeck; decorate;
soothe --synonyms-- allay; alleviate; appease;
artillery --synonyms-- battery; cannon; ordnance;
grandchild --synonyms-- NO SYNONYMS;
prefix --synonyms-- adjunct; affix; add;
likeable --synonyms-- amiable; appealing; attractive;
whom --synonyms-- NO SYNONYMS;
frontage --synonyms-- face; front; frontal;
discharged --synonyms-- fired; freed; laid-off;
razor --synonyms-- blade; cutting edge; safety razor;
ponderous --synonyms-- awkward; bulky; clumsy;
qualification --synonyms-- accomplishment; adequacy; capability;
denial --synonyms-- disapproval; rebuttal; rejection;
cement --synonyms-- adhesive; mud; plaster;
lint --synonyms-- dirt; earth; grime;
meadow --synonyms-- grassland; pasture; plain;
colloquial --synonyms-- conversational; vernacular; chatty;
what --synonyms-- NO SYNONYMS;
sore --synonyms-- aching; bruised; hurting;
widespread --synonyms-- across the board; all over the place; boundless;
sex --synonyms-- sexuality; femininity; manhood;
proof --synonyms-- argument; clue; confirmation;
insanity --synonyms-- absurdity; alienation; craziness;
theoretical --synonyms-- abstract; academic; analytical;
baby --synonyms-- little; mini; miniature;
license --synonyms-- authorization; certificate; charter;
calm --synonyms-- cool; harmonious; low-key;
closely --synonyms-- firmly; hard; intently;
backstage --synonyms-- behind the curtain; in a corner; in the background;
publicly --synonyms-- honestly; openly; plainly;
with --synonyms-- along; alongside; amidst;
captain --synonyms-- boss; commander; director;
matching --synonyms-- identical; coordinating; double;
cause --synonyms-- element; explanation; matter;
terrace --synonyms-- balcony; deck; gallery;
casting --synonyms-- ejection; expulsion; fling;
picket --synonyms-- pale; paling; palisade;
maze --synonyms-- bewilderment; convolution; entanglement;
funky --synonyms-- earthy; fashionable; hip;
container --synonyms-- bag; bottle; bowl;
embark --synonyms-- commence; enter; launch;
assort --synonyms-- categorize; class; classify;
plywood --synonyms-- NO SYNONYMS;
inject --synonyms-- add; implant; infuse;
hustle --synonyms-- rush; bulldoze; bustle;
idle --synonyms-- empty; unproductive; useless;
humankind --synonyms-- humanity; community; flesh;
gargle --synonyms-- irrigate; swish; trill;
governess --synonyms-- nanny; duenna; guardian;
forefather --synonyms-- antecedent(s); ascendant; patriarch;
rookie --synonyms-- colt; newcomer; amateur;
incorporate --synonyms-- absorb; assimilate; blend;
jargon --synonyms-- argot; idiom; lingo;
obliterate --synonyms-- annihilate; black out; eliminate;
floor --synonyms-- basement; canvas; carpet;
descendent --synonyms-- down; sinking; declining;
binding --synonyms-- conclusive; irrevocable; mandatory;
pineapple --synonyms-- ammunition; bomb; booby trap;
beset --synonyms-- bedevil; beleaguer; besiege;
running --synonyms-- constant; functioning; working;
paternity --synonyms-- ancestry; birth; descent;
veteran --synonyms-- old-time; skilled; trained;
chose --synonyms-- appoint; elect; name;
representation --synonyms-- depiction; image; portrayal;
significantly --synonyms-- actually; approximately; necessarily;
measurement --synonyms-- amount; analysis; appraisal;
trail --synonyms-- aisle; pathway; road;
newspaper --synonyms-- community; daily; journal;
democracy --synonyms-- equality; freedom; justice;
breast --synonyms-- bosom; chest; nipple;
collection --synonyms-- assemblage; assortment; compilation;
tired --synonyms-- annoyed; bored; distressed;
smooth --synonyms-- continuous; creamy; easy;
convicted --synonyms-- damned; doomed; fated;
mall --synonyms-- market; plaza; shopping center;
committed --synonyms-- devoted; faithful; pledged;
totally --synonyms-- absolutely; altogether; completely;
diary --synonyms-- account; journal; log;
united --synonyms-- concerted; consolidated; cooperative;
likely --synonyms-- acceptable; expected; fair;
bread --synonyms-- aliment; comestibles; diet;
cook --synonyms-- baker; chef; servant;
sordid --synonyms-- disreputable; nasty; shameful;
stand --synonyms-- attitude; belief; determination;
soothing --synonyms-- calming; reassuring; alleviating;
conceal --synonyms-- bury; camouflage; cloak;
kerb --synonyms-- NO SYNONYMS;
abound --synonyms-- flourish; proliferate; thrive;
indefinitely --synonyms-- endlessly; forever; considerably;
pick --synonyms-- choice; prize; selection;
pneumonia --synonyms-- NO SYNONYMS;
inexorable --synonyms-- implacable; inescapable; merciless;
bursting --synonyms-- breaking; exploding; calm;
bitty --synonyms-- little; mini; miniature;
flint --synonyms-- NO SYNONYMS;
vintage --synonyms-- best; choice; classic;
lacerate --synonyms-- mangle; claw; gash;
defence --synonyms-- NO SYNONYMS;
sewing --synonyms-- tailoring; backstitching; darning;
condole --synonyms-- comfort; commiserate; console;
bitter --synonyms-- harsh; sour; acid;
woke --synonyms-- arise; awake; awaken;
breathe --synonyms-- exhale; inhale; sigh;
smaller --synonyms-- less; lesser; lower;
shortage --synonyms-- dearth; deficit; failure;
lily --synonyms-- NO SYNONYMS;
legitimate --synonyms-- appropriate; certain; consistent;
every --synonyms-- all; each one; without exception;
erase --synonyms-- abolish; delete; eliminate;
raise --synonyms-- boost; hike; increment;
coat --synonyms-- fur; leather; skin;
mail --synonyms-- communication; letter; package;
parcel --synonyms-- bundle; carton; package;
hit --synonyms-- bat; blow; punch;
homework --synonyms-- appointment; chore; drill;
arab --synonyms-- NO SYNONYMS;
bliss --synonyms-- euphoria; happiness; joy;
vest --synonyms-- bestow; confer; empower;
immature --synonyms-- childish; premature; green;
fart --synonyms-- gas; vapors; wind;
tonsil --synonyms-- NO SYNONYMS;
millionaire --synonyms-- NO SYNONYMS;
vigorous --synonyms-- active; brisk; dynamic;
butt --synonyms-- tail; base; bottom;
opinionated --synonyms-- assertive; cocky; stubborn;
barley --synonyms-- corn; fodder; forage;
patronize --synonyms-- deign; snub; favor;
inconceivable --synonyms-- extraordinary; implausible; impossible;
pushy --synonyms-- ambitious; assertive; brash;
gall --synonyms-- chutzpah; acrimony; animosity;
ban --synonyms-- boycott; censorship; embargo;
irrigate --synonyms-- inundate; soak; flood;
reflection --synonyms-- consideration; contemplation; idea;
nag --synonyms-- annoy; badger; berate;
imperfect --synonyms-- immature; incomplete; inexact;
offset --synonyms-- balance; cancel out; counteract;
became --synonyms-- come; convert; incline;
hypothetically --synonyms-- tentatively; with limitations; with reservations;
informant --synonyms-- canary; fink; nark;
texture --synonyms-- balance; character; composition;
outset --synonyms-- beginning; dawn; origin;
haste --synonyms-- alacrity; urgency; briskness;
confidential --synonyms-- classified; hush-hush; intimate;
groom --synonyms-- bridegroom; suitor; benedict;
drawn --synonyms-- harassed; harrowed; peaked;
restriction --synonyms-- check; condition; constraint;
presentation --synonyms-- appearance; delivery; demonstration;
hint --synonyms-- advice; announcement; clue;
foreign --synonyms-- alien; different; external;
reception --synonyms-- encounter; gathering; greeting;
everything --synonyms-- all; business; lot;
massive --synonyms-- big; colossal; enormous;
anywhere --synonyms-- anyplace; all over; everywhere;
basically --synonyms-- essentially; mostly; at heart;
meaning --synonyms-- connotation; content; context;
beautiful --synonyms-- alluring; appealing; charming;
during --synonyms-- all along; all the while; amid;
glad --synonyms-- cheerful; contented; joyful;
want --synonyms-- need; wish; appetite;
ask --synonyms-- challenge; demand; inquire;
can --synonyms-- bottle; bucket; canister;
wrong --synonyms-- amiss; awry; bad;
adjective --synonyms-- accessory; adjunct; adnoun;
maternity --synonyms-- gestation; motherhood; parenthood;
stair --synonyms-- amount; extent; grade;
there --synonyms-- capable; effective; efficient;
fluffy --synonyms-- creamy; feathery; gossamer;
fiend --synonyms-- barbarian; ogre; beast;
remorse --synonyms-- anguish; compassion; contrition;
rash --synonyms-- audacious; bold; daring;
thug --synonyms-- assassin; bandit; bully;
basin --synonyms-- bowl; lagoon; pan;
blubber --synonyms-- bawl; cry; sob;
beeper --synonyms-- NO SYNONYMS;
renting --synonyms-- financing; accepting a loan; loaning;
homesick --synonyms-- lonely; wistful; hankering;
squeak --synonyms-- creak; screech; squeal;
breeding --synonyms-- development; rearing; training;
frock --synonyms-- apron; gown; robe;
hose --synonyms-- hosiery; sock; tights;
brew --synonyms-- beverage; blend; broth;
hangnail --synonyms-- NO SYNONYMS;
mobile --synonyms-- ambulatory; fluid; free;
grapefruit --synonyms-- NO SYNONYMS;
celsius --synonyms-- NO SYNONYMS;
lips --synonyms-- box; cavity; door;
slang --synonyms-- argot; jargon; lingo;
overload --synonyms-- overburden; overwhelm; burden;
ego --synonyms-- character; psyche; self;
entertainment --synonyms-- ball; bash; blast;
scrape --synonyms-- corner; difficulty; dilemma;
till --synonyms-- box; kitty; safe;
selection --synonyms-- choice; collection; draft;
hush --synonyms-- stillness; calm; lull;
owe --synonyms-- incur; lost; be beholden;
bound --synonyms-- constrained; enslaved; obligated;
squirrel --synonyms-- cache; collect; deposit;
quit --synonyms-- depart; drop; drop out;
thirty --synonyms-- NO SYNONYMS;
celebrate --synonyms-- honor; laud; observe;
barter --synonyms-- haggle; bargain; exchange;
whining --synonyms-- bellyaching; caviling; criticizing;
amendment --synonyms-- change; modification; reform;
business --synonyms-- employment; field; trade;
casserole --synonyms-- goulash; hash; pottage;
helper --synonyms-- apprentice; attendant; collaborator;
banter --synonyms-- chitchat; gossip; repartee;
shred --synonyms-- fragment; iota; modicum;
needful --synonyms-- capital; cardinal; chief;
mildness --synonyms-- compassion; gentleness; kindness;
keynote --synonyms-- basis; center; core;
look --synonyms-- attention; eye; glance;
quilt --synonyms-- bedspread; blanket; comforter;
blare --synonyms-- bark; clang; honk;
gratitude --synonyms-- acknowledgment; obligation; recognition;
brotherhood --synonyms-- fraternity; guild; alliance;
grudge --synonyms-- animosity; animus; antipathy;
development --synonyms-- advancement; evolution; expansion;
threw --synonyms-- lob; thrust; force;
variety --synonyms-- array; assortment; change;
usually --synonyms-- commonly; consistently; customarily;
misery --synonyms-- agony; anguish; despair;
foundation --synonyms-- authority; base; bedrock;
brave --synonyms-- adventurous; audacious; confident;
worm --synonyms-- boor; bounder; clown;
rare --synonyms-- extraordinary; limited; occasional;
birthday --synonyms-- name day; natal day; anniversary;
held --synonyms-- adhered; believed; clutched;
pan --synonyms-- bucket; frying pan; kettle;
parent --synonyms-- father; mother; ancestor;
jerk --synonyms-- bounce; bump; flick;
sensitivity --synonyms-- awareness; feeling; nervousness;
trash --synonyms-- debris; droppings; junk;
hedge --synonyms-- fence; shrubbery; barrier;
touch --synonyms-- communication; contact; feeling;
jump --synonyms-- bounce; dive; drop;
marathon --synonyms-- cross-country race; endurance run; test of endurance;
hag --synonyms-- bag; battle-ax; beldam;
convent --synonyms-- abbey; cloister; monastery;
calling --synonyms-- art; business; career;
prevail --synonyms-- abound; beat; overcome;
musty --synonyms-- airless; ancient; crumbling;
doodle --synonyms-- draw; fiddle; putter;
wrench --synonyms-- bend; dislocate; distort;
resentful --synonyms-- belligerent; bitter; hateful;
sigh --synonyms-- cry; exhale; gasp;
wedge --synonyms-- chunk; block; chock;
admirable --synonyms-- attractive; commendable; excellent;
cannot --synonyms-- NO SYNONYMS;
turnip --synonyms-- beet; bulb; potato;
wan --synonyms-- blanched; bleached; dim;
grin --synonyms-- smirk; beam; crack;
onerous --synonyms-- arduous; backbreaking; burdensome;
relentless --synonyms-- determined; dogged; ferocious;
extinguish --synonyms-- douse; quench; smother;
choke --synonyms-- clog; congest; drown;
cooked --synonyms-- corrected; modified; transformed;
vitamin --synonyms-- fiber; food; mineral;
afterward --synonyms-- afterwards; eventually; late;
opinion --synonyms-- assessment; assumption; attitude;
esteem --synonyms-- hold dear; revere; value;
flesh --synonyms-- beef; fat; meat;
arrangement --synonyms-- adjustment; agreement; compromise;
sack --synonyms-- discharge; dismiss; expel;
dizzy --synonyms-- dazed; distracted; dumb;
rescue --synonyms-- delivery; recovery; relief;
bunch --synonyms-- assemblage; assortment; band;
breakfast --synonyms-- brunch; early meal; morning meal;
interrupt --synonyms-- break; break off; cut off;
lunch --synonyms-- luncheon; high tea; snack;
prodigy --synonyms-- genius; sensation; whiz;
camp --synonyms-- encampment; tent; bivouac;
suit --synonyms-- costume; dress; ensemble;
industry --synonyms-- business; commerce; corporation;
class --synonyms-- chic; dashing; fine;
undeniable --synonyms-- certain; evident; indisputable;
peep --synonyms-- hoot; chatter; cheep;
posterity --synonyms-- breed; brood; children;
postcard --synonyms-- card; communication; dispatch;
harrow --synonyms-- afflict; annoy; bedevil;
intact --synonyms-- flawless; perfect; unblemished;
mislead --synonyms-- betray; cheat; deceive;
lavender --synonyms-- lilac; violet; lavender;
genuinely --synonyms-- absolutely; actually; authentically;
cuckoo --synonyms-- fool; nuts; silly;
willingly --synonyms-- cheerfully; freely; readily;
dominant --synonyms-- assertive; commanding; effective;
asparagus --synonyms-- NO SYNONYMS;
refrigerate --synonyms-- cool; freeze; air-condition;
gainful --synonyms-- advantageous; beneficial; fat;
eighth --synonyms-- NO SYNONYMS;
idiom --synonyms-- dialect; jargon; locution;
participant --synonyms-- colleague; member; partner;
simultaneous --synonyms-- concurrent; accompanying; agreeing;
decoy --synonyms-- allurement; attraction; beard;
nearest --synonyms-- adjacent; convenient; abutting;
sooner --synonyms-- earlier; ahead; advanced;
ourselves --synonyms-- individually; our own selves; personally;
handwriting --synonyms-- calligraphy; longhand; manuscript;
vulnerable --synonyms-- accessible; defenseless; exposed;
classic --synonyms-- simple; typical; usual;
mist --synonyms-- cloud; dew; drizzle;
pole --synonyms-- beam; flagpole; leg;
infection --synonyms-- bug; disease; epidemic;
prior --synonyms-- above-mentioned; preceding; previous;
worst --synonyms-- lowest; bad; inferior;
behave --synonyms-- act; operate; perform;
reputation --synonyms-- character; fame; honor;
meeting --synonyms-- competition; confrontation; contest;
carter --synonyms-- NO SYNONYMS;
odd --synonyms-- different; accidental; casual;
road --synonyms-- artery; avenue; boulevard;
monk --synonyms-- abbot; friar; priest;
consonant --synonyms-- agnate; blending; correspondent;
temperature --synonyms-- climate; cold; condition;
try --synonyms-- shot; bid; crack;
copper --synonyms-- burnished; chestnut; russet;
hereby --synonyms-- herewith; by means of this; by this means;
raft --synonyms-- barge; boat; lifeboat;
submission --synonyms-- capitulation; resignation; acquiescence;
disappointed --synonyms-- balked; beaten; complaining;
royalty --synonyms-- aristocracy; authority; distinction;
transaction --synonyms-- action; activity; affair;
unicorn --synonyms-- NO SYNONYMS;
consulting --synonyms-- consultative; advising; consultatory;
batch --synonyms-- amount; array; assortment;
ostensible --synonyms-- avowed; plausible; professed;
godfather --synonyms-- elder; patron; criminal;
dual --synonyms-- bifold; binal; binary;
drudgery --synonyms-- chore; grind; labor;
enliven --synonyms-- animate; brighten; buoy;
legendary --synonyms-- fabled; fabulous; mythical;
shoes --synonyms-- sneaker; pump; cleat;
stability --synonyms-- balance; cohesion; establishment;
entry --synonyms-- access; entrance; opening;
pizza --synonyms-- NO SYNONYMS;
production --synonyms-- construction; management; manufacture;
ranger --synonyms-- policeman; policewoman; rover;
wardrobe --synonyms-- apparel; attire; closet;
combustible --synonyms-- fiery; flammable; incendiary;
sugar --synonyms-- carbohydrate; candy; caramel;
confidence --synonyms-- assurance; certainty; courage;
calculation --synonyms-- arithmetic; computation; counting;
pop --synonyms-- burst; crack; explosion;
impression --synonyms-- consequence; effect; feeling;
detector --synonyms-- radar; discoverer; locater;
environmental --synonyms-- coincidental; inconclusive; indirect;
aircraft --synonyms-- airliner; balloon; chopper;
chart --synonyms-- blueprint; graph; sketch;
tram --synonyms-- car; gondola; streetcar;
tenant --synonyms-- dweller; holder; inhabitant;
constable --synonyms-- detective; patrolman; policeman;
disqualify --synonyms-- bar; exclude; invalidate;
anguish --synonyms-- agony; grief; heartache;
quay --synonyms-- berth; jetty; key;
spaceship --synonyms-- extraterrestrial spacecraft; extraterrestrial vessel; spacecraft;
snout --synonyms-- beak; nose; trunk;
apologizing --synonyms-- answer; apologetics; apologia;
detective --synonyms-- agent; informer; police officer;
germ --synonyms-- antibody; bacterium; bug;
massage --synonyms-- beating; manipulation; rubbing;
wealthy --synonyms-- affluent; independent; moneyed;
intruder --synonyms-- burglar; criminal; infiltrator;
punctual --synonyms-- dependable; expeditious; accurate;
noncommittal --synonyms-- ambiguous; careful; cautious;
savage --synonyms-- barbaric; crude; fierce;
immediate --synonyms-- actual; prompt; urgent;
rolling --synonyms-- hilly; undulating; convolute;
exclusive --synonyms-- absolute; chic; exclusionary;
ace --synonyms-- champion; distinguished; expert;
forbid --synonyms-- ban; block; cancel;
wives --synonyms-- partner; bride; roommate;
perfectly --synonyms-- altogether; completely; entirely;
four --synonyms-- quadruple; quadruplicate; quaternary;
very --synonyms-- actual; appropriate; authentic;
cheer --synonyms-- delight; encouragement; glee;
candle --synonyms-- torch; dip; flambeau;
gale --synonyms-- cyclone; hurricane; monsoon;
bother --synonyms-- aggravation; ado; annoyance;
drip --synonyms-- dribble; drizzle; exude;
scanner --synonyms-- OCR; OCR device; optical character reading;
resemblance --synonyms-- affinity; closeness; coincidence;
create --synonyms-- build; conceive; constitute;
wash --synonyms-- cleaning; shampoo; washing;
artful --synonyms-- adroit; ingenious; masterly;
unavoidable --synonyms-- certain; inescapable; inevitable;
stock --synonyms-- basic; common; dull;
stepmother --synonyms-- NO SYNONYMS;
palette --synonyms-- NO SYNONYMS;
kangaroo --synonyms-- bandicoot; euro; koala;
cornflower --synonyms-- NO SYNONYMS;
courier --synonyms-- bearer; carrier; dispatcher;
hygiene --synonyms-- sanitation; hygienics; regimen;
prepay --synonyms-- compensate; disburse; extend;
wretched --synonyms-- abject; deplorable; depressed;
pert --synonyms-- animated; audacious; brash;
landlady --synonyms-- head of the house; householder; lady of the house;
fluke --synonyms-- blessing; quirk; accident;
pulverize --synonyms-- shatter; abrade; atomize;
astronaut --synonyms-- cosmonaut; pilot; moonwalker;
dealt --synonyms-- appropriated; assigned; dispersed;
miniature --synonyms-- mini; pint-sized; reduced;
shrill --synonyms-- deafening; discordant; earsplitting;
faculty --synonyms-- adroitness; aptitude; aptness;
proclamation --synonyms-- decree; edict; manifesto;
annoy --synonyms-- agitate; bore; bother;
prick --synonyms-- cut; gash; jab;
item --synonyms-- component; element; feature;
predominant --synonyms-- dominant; dominating; main;
horizon --synonyms-- boundary; perspective; prospect;
plum --synonyms-- carrot; cream; asset;
teen --synonyms-- juvenile; youngster; adolescent;
betrayal --synonyms-- deception; dishonesty; sellout;
betray --synonyms-- abandon; deceive; forsake;
hers --synonyms-- mine; his; its;
visitor --synonyms-- caller; company; foreigner;
notably --synonyms-- conspicuously; greatly; markedly;
ceremony --synonyms-- commemoration; function; observance;
become --synonyms-- come; develop into; grow into;
spike --synonyms-- fasten; impale; lance;
everybody --synonyms-- all; all and sundry; anybody;
prom --synonyms-- gala; dance; promenade;
always --synonyms-- consistently; constantly; ever;
vice --synonyms-- carnality; corruption; debasement;
pure --synonyms-- authentic; bright; classic;
school --synonyms-- academy; department; faculty;
big --synonyms-- colossal; considerable; enormous;
temporarily --synonyms-- for a time; pro tem; pro tempore;
metal --synonyms-- alloy; hardware; ingot;
stitch --synonyms-- fasten; sew; baste;
daffodil --synonyms-- adage; aphorism; axiom;
godmother --synonyms-- ;
knack --synonyms-- aptitude; dexterity; flair;
destruct --synonyms-- decimate; demolish; devastate;
lament --synonyms-- bemoan; deplore; regret;
interruption --synonyms-- blackout; breach; cutoff;
midsummer --synonyms-- summertime; vacation; heat;
photography --synonyms-- arts; beaux arts; ceramics;
enjoying --synonyms-- appropriate; complacent; convenient;
progeny --synonyms-- breed; children; descendants;
architect --synonyms-- artist; builder; creator;
conflict --synonyms-- battle; clash; combat;
bishop --synonyms-- administrator; cleric; director;
engrave --synonyms-- chisel; embed; etch;
oxide --synonyms-- base metal; native metal; noble metal;
hid --synonyms-- plant; shield; hole up;
hike --synonyms-- trek; trip; backpacking;
abstract --synonyms-- abstruse; hypothetical; philosophical;
gut --synonyms-- basic; interior; intimate;
parallel --synonyms-- coordinate; lateral; alongside;
grant --synonyms-- allocation; allotment; appropriation;
dairy --synonyms-- dairy farm; buttery; creamery;
we --synonyms-- you; they; we;
chicken --synonyms-- coward; craven; dastard;
volume --synonyms-- amount; figure; number;
stage --synonyms-- lap; leg; moment;
beetle --synonyms-- oversize; bag; balloon;
roll --synonyms-- cycle; gyration; reel;
influenza --synonyms-- contagion; curse; epidemic;
unborn --synonyms-- awaited; coming; expected;
broom --synonyms-- mop; besom; swab;
glen --synonyms-- canyon; dale; dell;
boob --synonyms-- nitwit; dunce; fathead;
repulsive --synonyms-- abhorrent; creepy; distasteful;
slayer --synonyms-- assassin; butcher; criminal;
phenomenon --synonyms-- anomaly; aspect; circumstance;
intern --synonyms-- doctor; resident; student;
distinguished --synonyms-- acclaimed; brilliant; dignified;
ease --synonyms-- calm; calmness; comfort;
standpoint --synonyms-- angle; point of view; viewpoint;
emphasize --synonyms-- accentuate; affirm; assert;
norm --synonyms-- benchmark; criterion; measure;
leech --synonyms-- barnacle; bloodsucker; bum;
marsh --synonyms-- bog; estuary; fen;
quaint --synonyms-- bizarre; curious; fanciful;
laser --synonyms-- bar; glow; radiation;
drank --synonyms-- inhale; consume; sip;
pumpkin --synonyms-- fruit; squash; gourd;
herb --synonyms-- additive; condiment; sauce;
command --synonyms-- direction; duty; law;
sportsman somewhere --synonyms-- NO SYNONYMS;
testimony --synonyms-- affidavit; data; demonstration;
module --synonyms-- width; bore; breadth;
despise --synonyms-- abhor; deride; detest;
peaceful --synonyms-- amicable; bloodless; calm;
sorrow --synonyms-- agony; anguish; hardship;
each --synonyms-- all; any; exclusive;
landlord --synonyms-- property owner; proprietor; freeholder;
worries --synonyms-- pain; apprehension; uncertainty;
player --synonyms-- athlete; competitor; member;
chill --synonyms-- biting; chilly; freezing;
ability --synonyms-- capability; capacity; competence;
edge --synonyms-- boundary; brink; corner;
perform --synonyms-- achieve; act; behave;
robber --synonyms-- bandit; burglar; con artist;
reverend --synonyms-- clergy; clergyman; clerical;
ruling --synonyms-- cardinal; central; commanding;
gear --synonyms-- accessory; apparatus; harness;
redden --synonyms-- bloody; color; crimson;
ablative --synonyms-- NO SYNONYMS;
energetic --synonyms-- active; aggressive; dynamic;
recess --synonyms-- alcove; ambush; angle;
maple --synonyms-- NO SYNONYMS;
pliable --synonyms-- docile; flexible; limber;
quench --synonyms-- dampen; douse; quash;
unbearable --synonyms-- a bit much; insufferable; intolerable;
outbid --synonyms-- NO SYNONYMS;
recline --synonyms-- loll; lounge; sprawl;
stripe --synonyms-- ribbon; band; banding;
predestine --synonyms-- break; chance; cup;
inspiration --synonyms-- encouragement; enthusiasm; genius;
improvise --synonyms-- ad-lib; brainstorm; concoct;
intensive --synonyms-- accelerated; all-out; comprehensive;
static --synonyms-- fixed; immobile; immovable;
sunrise --synonyms-- aurora; cockcrow; dawn;
significant --synonyms-- compelling; important; momentous;
hysterical --synonyms-- agitated; crazy; distraught;
awkward --synonyms-- amateurish; rude; stiff;
distrustful --synonyms-- cautious; doubtful; dubious;
fond --synonyms-- affectionate; enamored; indulgent;
subsequent --synonyms-- consecutive; consequent; ensuing;
transition --synonyms-- changeover; conversion; development;
upside --synonyms-- NO SYNONYMS;
briefly --synonyms-- shortly; in a nutshell; in brief;
virus --synonyms-- ailment; disease; germ;
primary --synonyms-- constitutional; dominant; elementary;
improve --synonyms-- advance; better; boost;
percentage --synonyms-- bonus; chunk; fee;
absolutely --synonyms-- actually; categorically; definitely;
risk --synonyms-- danger; exposure; hazard;
punch --synonyms-- blow; jab; shot;
healthy --synonyms-- active; athletic; fresh;
opportunity --synonyms-- convenience; event; excuse;
victim --synonyms-- casualty; dead; fatality;
populate --synonyms-- colonize; inhabit; occupy;
fish --synonyms-- angle; bait; bob;
well --synonyms-- strong; together; blooming;
according --synonyms-- agnate; blending; correspondent;
boat --synonyms-- barge; canoe; catamaran;
lurk --synonyms-- creep; crouch; prowl;
most --synonyms-- better; biggest; greater;
appease --synonyms-- allay; alleviate; assuage;
sharp --synonyms-- acute; pointed; razor-sharp;
extend --synonyms-- boost; broaden; continue;
inhabit --synonyms-- locate; occupy; populate;
