louse --synonyms-- cad; cootie; knave;
admission --synonyms-- acceptance; access; admittance;
analogy --synonyms-- comparison; correlation; metaphor;
connoisseur --synonyms-- aficionado; buff; devotee;
girdle --synonyms-- waistband; band; belt;
armistice --synonyms-- ceasefire; truce; suspension;
magnify --synonyms-- aggravate; amplify; deepen;
overlook --synonyms-- discount; forget; ignore;
sturdy --synonyms-- bulky; hearty; hulking;
zigzag --synonyms-- bent; crinkled; crooked;
laden --synonyms-- burdened; charged; encumbered;
ram --synonyms-- cram; crash; run into;
hindsight --synonyms-- experience; knowledge; recollection;
apostrophe --synonyms-- detour; footnote; aside;
ashy --synonyms-- ash-colored; ashen; blanched;
cloak --synonyms-- camouflage; mantle; mask;
prey --synonyms-- casualty; chased; dupe;
deacon --synonyms-- cleric; elder; priest;
advancement --synonyms-- advance; growth; improvement;
miscarriage --synonyms-- abortion; mishap; botch;
exclusion --synonyms-- boycott; discharge; elimination;
changeable --synonyms-- capricious; fickle; fluctuating;
ensign --synonyms-- banner; colors; emblem;
nonchalance --synonyms-- casualness; indifference; insouciance;
bigot --synonyms-- dogmatist; extremist; fanatic;
mulberry --synonyms-- aggregate fruit; fig; pineapple;
calamity --synonyms-- adversity; cataclysm; catastrophe;
difficulty --synonyms-- adversity; complication; crisis;
flirting --synonyms-- flirtation; toying; banter;
gorilla --synonyms-- chimpanzee; gibbon; humanoid;
blank --synonyms-- bare; barren; untouched;
depressing --synonyms-- bleak; daunting; disheartening;
celebrity --synonyms-- figure; hero; luminary;
literary --synonyms-- classical; scholarly; belletristic;
league --synonyms-- club; company; conference;
estate --synonyms-- area; farm; parcel;
thoughtful --synonyms-- astute; attentive; careful;
urban --synonyms-- civic; civil; downtown;
preference --synonyms-- choice; desire; inclination;
wedding --synonyms-- marriage; bells; bridal;
pity --synonyms-- compassion; condolence; empathy;
taught --synonyms-- coached; directed; educated;
seaweed --synonyms-- algae; gulfweed; rockweed;
identity --synonyms-- character; existence; identification;
input --synonyms-- aid; consultation; encouragement;
government --synonyms-- authority; law; ministry;
piece --synonyms-- bit; chunk; example;
confession --synonyms-- acknowledgment; admission; assertion;
litre --synonyms-- NO SYNONYMS;
jackal --synonyms-- brush wolf; dingo; hyena;
should --synonyms-- allow; become; consider;
supporting --synonyms-- aiding; approving; encouraging;
spank --synonyms-- chastise; clobber; flog;
article --synonyms-- piece; commodity; gizmo;
languish --synonyms-- deteriorate; dwindle; fail;
occupied --synonyms-- employed; engaged; engrossed;
vegetarian --synonyms-- vegan; fruitarian; herbivorous;
complement --synonyms-- accompaniment; addition; aggregate;
fancy --synonyms-- complicated; decorative; deluxe;
freely --synonyms-- candidly; openly; voluntarily;
reconciliation --synonyms-- accord; agreement; compromise;
disciplinary --synonyms-- punitive; ordered; punishing;
flyer --synonyms-- flier; ace; aviator;
banker --synonyms-- broker; dealer; financier;
caliber --synonyms-- ability; competence; quality;
banish --synonyms-- dismiss; dispel; drive away;
hog --synonyms-- pig; boar; piglet;
viewpoint --synonyms-- angle; aspect; attitude;
persist --synonyms-- carry on; carry over; continue;
bragging --synonyms-- aloof; bossy; cavalier;
perpendicular --synonyms-- crosswise; angular; crisscross;
shiny --synonyms-- gleaming; glossy; lustrous;
monument --synonyms-- gravestone; headstone; marker;
hypnotize --synonyms-- anesthetize; captivate; fascinate;
oblivion --synonyms-- unconsciousness; abeyance; amnesia;
weekly --synonyms-- annual; intermittent; monthly;
bow --synonyms-- nod; angle; arc;
loser --synonyms-- also-ran; underdog; deadbeat;
recover --synonyms-- get back; reclaim; recoup;
freezing --synonyms-- biting; chilly; frigid;
lecture --synonyms-- address; discourse; instruction;
mission --synonyms-- aim; assignment; business;
march --synonyms-- advance; debouch; drill;
selfless --synonyms-- altruistic; charitable; generous;
cell --synonyms-- bacterium; egg; germ;
atheism --synonyms-- nihilism; disbelief; doubt;
watch --synonyms-- timepiece; wristwatch; chronometer;
weight --synonyms-- burden; density; gravity;
barracks --synonyms-- billet; bivouac; camp;
inhuman --synonyms-- barbaric; barbarous; brutal;
give --synonyms-- accord; allow; award;
pier --synonyms-- dam; dock; jetty;
rag --synonyms-- dishrag; dustcloth; patch;
bulb --synonyms-- corn; ball; bunch;
resemble --synonyms-- feature; mirror; parallel;
impersonal --synonyms-- abstract; detached; indifferent;
appal --synonyms-- alarm; amaze; astound;
wand --synonyms-- baton; caduceus; scepter;
invoke --synonyms-- appeal to; conjure; adjure;
humour --synonyms-- NO SYNONYMS;
cashmere --synonyms-- fleece; fur; hair;
safely --synonyms-- carefully; cautiously; harmlessly;
chaos --synonyms-- anarchy; disarray; discord;
multiple --synonyms-- different; numerous; various;
probably --synonyms-- apparently; doubtless; no doubt;
joke --synonyms-- antic; farce; gag;
mere --synonyms-- bare; minor; pure;
superstitious --synonyms-- apprehensive; credulous; fearful;
week --synonyms-- age; date; day;
conscience --synonyms-- shame; censor; compunction;
since --synonyms-- afterward; ago; already;
corner --synonyms-- edge; intersection; rim;
bonfire --synonyms-- conflagration; beacon; pyre;
bankrupt --synonyms-- broke; destitute; failed;
canteen --synonyms-- chuck wagon; mobile kitchen; snack bar;
author --synonyms-- biographer; columnist; composer;
confirmation --synonyms-- acceptance; admission; affirmation;
cudgel --synonyms-- nightstick; truncheon; bastinado;
verbal --synonyms-- rhetorical; unwritten; exact;
consistent --synonyms-- dependable; logical; persistent;
ingredient --synonyms-- additive; element; factor;
chatterbox --synonyms-- blabbermouth; busybody; clack;
alias --synonyms-- otherwise; also called; also known as;
sacrament --synonyms-- communion; liturgy; baptism;
intoxicate --synonyms-- baffle; bewilder; daze;
lent --synonyms-- borrowed; given; chartered;
giddiness --synonyms-- disequilibrium; lightheadedness; shakiness;
ejection --synonyms-- banishment; elimination; eviction;
bodily --synonyms-- physical; actual; animal;
penitent --synonyms-- repentant; abject; apologetic;
anticipate --synonyms-- assume; await; count on;
thankful --synonyms-- contented; grateful; indebted;
boiling --synonyms-- baking; fiery; scalding;
vomit --synonyms-- eject; gag; heave;
invincible --synonyms-- bulletproof; impassable; impregnable;
gesture --synonyms-- action; body language; expression;
coupon --synonyms-- advertisement; card; certificate;
quote --synonyms-- cite; name; recall;
punish --synonyms-- abuse; chastise; correct;
hemisphere --synonyms-- fraction; bisection; division;
fries --synonyms-- chips; freedom fries; French-fried potatoes;
loft --synonyms-- apartment; studio; attic;
actor --synonyms-- artist; character; clown;
responsible --synonyms-- answerable; culpable; guilty;
formally --synonyms-- correctly; properly; regularly;
clown --synonyms-- buffoon; comedian; comic;
restaurant --synonyms-- bar; cafeteria; coffee shop;
previously --synonyms-- already; formerly; heretofore;
carrying --synonyms-- childbearing; expectant; in a family way;
pleasure --synonyms-- amusement; bliss; comfort;
university --synonyms-- academy; educational institution; college;
these --synonyms-- the above-mentioned; the particular; the above-mentioned;
unattractive --synonyms-- disgusting; repugnant; repulsive;
lady --synonyms-- gentlewoman; nobility; noblewoman;
solution --synonyms-- explanation; quick fix; result;
ramble --synonyms-- constitutional; excursion; hike;
enter --synonyms-- arrive; come in; get in;
armchair --synonyms-- recliner; captain's chair; elbow chair;
venture --synonyms-- deal; endeavor; enterprise;
clang --synonyms-- clash; jangle; noise;
contend --synonyms-- argue; confront; cope;
stub --synonyms-- butt; counterfoil; dock;
truce --synonyms-- accord; agreement; amnesty;
sewer --synonyms-- gutter; septic tank; sewage system;
divided --synonyms-- branched; cleft; prorated;
abode --synonyms-- address; apartment; base;
lieutenant --synonyms-- abettor; accessory; accomplice;
jinx --synonyms-- hex; charm; enchantment;
paw --synonyms-- claw; extremity; fist;
mirth --synonyms-- hilarity; laughter; levity;
eminent --synonyms-- big-name; distinguished; esteemed;
snatch --synonyms-- snippet; bit; fragment;
onboard --synonyms-- boarded; consigned; embarked;
dipping --synonyms-- dive; plunge; bath;
scalpel --synonyms-- bayonet; blade; cutter;
slumber --synonyms-- coma; dormancy; stupor;
adjoin --synonyms-- abut; approximate; border;
hard-boiled --synonyms-- hard-nosed; callous; firm;
itinerary --synonyms-- guidebook; journey; path;
duly --synonyms-- appropriately; correctly; deservedly;
manufacturer --synonyms-- builder; business; company;
bog --synonyms-- lowland; marshland; wetlands;
screech --synonyms-- howl; shout; shriek;
pail --synonyms-- canister; container; jug;
eyeshadow --synonyms-- NO SYNONYMS;
oblige --synonyms-- bind; compel; constrain;
absorb --synonyms-- consume; ingest; swallow;
education --synonyms-- culture; discipline; improvement;
peel --synonyms-- bark; cover; epicarp;
cure --synonyms-- antidote; drug; elixir;
slope --synonyms-- hill; ramp; shelf;
math --synonyms-- analytical; numerical; scientific;
activity --synonyms-- action; enterprise; exercise;
apple --synonyms-- blue-green; olive; aquamarine;
head --synonyms-- arch; champion; first;
expenditure --synonyms-- amount; consumption; cost;
hell --synonyms-- inferno; misery; nightmare;
insomnia --synonyms-- restlessness; indisposition; sleeplessness;
buzz --synonyms-- hum; murmur; whisper;
fulfilled --synonyms-- realized; satisfied; accomplished;
pare --synonyms-- cut back; cut down; decrease;
grate --synonyms-- mince; rub; abrade;
arouse --synonyms-- awaken; foment; incite;
authentic --synonyms-- accurate; authoritative; convincing;
hind --synonyms-- behind; final; following;
solving --synonyms-- corrective; therapeutic; alleviative;
stagger --synonyms-- careen; falter; lurch;
radiation --synonyms-- emission; broadcast; circulation;
definitely --synonyms-- absolutely; clearly; decidedly;
kingdom --synonyms-- commonwealth; country; county;
magnitude --synonyms-- consequence; degree; significance;
rebuke --synonyms-- admonition; censure; condemnation;
truthful --synonyms-- believable; candid; correct;
horseback --synonyms-- NO SYNONYMS;
devaluation --synonyms-- decline; decrease; reduction;
potion --synonyms-- draught; elixir; brew;
